username,video_id,video_url,like_count,comment_count,share_count,save_count,description,scraped_at
aliphildan,7651922418042260754,https://www.tiktok.com/@aliphildan/video/7651922418042260754,61.4K,95,1502,1244,Sehat2 ya kak😭🔥 #NYALIP #tanyakelapkelip #fakesituation⚠️,2026-09-02T11:20:07.915224
aliphildan,7651606260910984466,https://www.tiktok.com/@aliphildan/video/7651606260910984466,37.3K,1856,48.5K,1920,"Gausah rebutan, ambil satu2! #fakesituation⚠️ @Acid 🔮 @Bang ucup",2026-09-02T11:21:06.971233
aliphildan,7651578554400001288,https://www.tiktok.com/@aliphildan/video/7651578554400001288,4331,110,106,87,Replying to @A. Sorry bgt soalnya udah terlalu banyak yg suka sama kita🥺☹️🙏🏻 #SaLiMan #jagairama #fakesituation⚠️,2026-09-02T11:21:56.530387
aliphildan,7651494968938253575,https://www.tiktok.com/@aliphildan/video/7651494968938253575,18.9K,539,873,459,"Jaga Irama udah sampe kota mana nih?🕺🏻🫀 #jagairama #SaLiMan @Ayman Alatas @Ikhsanqthii, MD",2026-09-02T11:24:34.371780
aliphildan,7651073167703690514,https://www.tiktok.com/@aliphildan/video/7651073167703690514,95.5K,784,4462,1703,Fix fyp isinya sekolahan semua #teachyoualesson,2026-09-02T11:25:07.937891
aliphildan,7650791807726701842,https://www.tiktok.com/@aliphildan/video/7650791807726701842,25.4K,418,1893,1540,Coba ada lagii gaak?🕺🏻 Nanti harry pottlip bacain✨📖 #fakesituation⚠️,2026-09-02T11:30:19.799869
aliphildan,7650005654043757832,https://www.tiktok.com/@aliphildan/video/7650005654043757832,15.4K,363,691,236,#jff #fakesituation⚠️,2026-09-02T11:31:07.401120
aliphildan,7649691916245749010,https://www.tiktok.com/@aliphildan/video/7649691916245749010,4369,36,165,115,"Plis dok, logbook aku masih kosong tanda tangannya🥺 #fakesituation⚠️",2026-09-02T11:31:49.015428
aliphildan,7649332397162761492,https://www.tiktok.com/@aliphildan/video/7649332397162761492,0,0,0,0,"Bener gak sih makan gorengan bikin jerawatan?Bisa, terutama kalau dikonsumsi terlalu sering dan berlebihan. Gorengan umumnya tinggi kalori dan lemak, yang dapat meningkatkan proses peradangan di dalam tubuh. Pada sebagian orang, kondisi ini bisa membuat produksi minyak di kulit meningkat dan jerawat jadi lebih mudah muncul atau bertambah parah. Belum lagi kalau gorengannya dimasak dengan minyak yang dipakai berulang kali, kandungan senyawa hasil oksidasinya juga bisa memicu stres oksidatif dan peradangan. Jadi kalau akhir-akhir ini jerawatmu makin aktif sementara konsumsi gorengan lagi sering-seringnya, mungkin ada hubungannya juga. Makanya selain menjaga kebersihan wajah, pola makan sehari-hari juga jangan dilupain ya! 🪩🕺🏻 @idmensbiore #SiapTampilAwesome",2026-09-02T11:32:35.399290
aliphildan,7648588842672475410,https://www.tiktok.com/@aliphildan/video/7648588842672475410,3088,59,194,125,"Pernah lagi nyaman2 mau tidur, eh tiba2 kerasa kayak kepleset atau jatuh dari ketinggian, terus badan nyentak dan langsung melek lagi? Fenomena ini namanya hypnic jerk atau sentakan hipnik, dan ini hal yang super normal dialami banyak orang. Jadi pas kita transisi dari kondisi sadar ke tidur, otot-otot mulai rileks total. Nah, ada teori yang bilang otak kita kadang “salah baca” sinyal otot yang mengendur ini sebagai tanda kita lagi jatuh, jadi refleks dia ngirim sinyal buat “nangkep” badan kita, makanya kerasa nyentak plus sensasi jatuh tadi. Pemicunya biasanya kecapekan banget, kurang tidur, stres atau cemas, kebanyakan kafein, atau olahraga berat mepet jam tidur. Solusinya gampang: coba kurangi kopi terutama sore-malam, atur jam tidur biar lebih teratur, kelola stres sebelum rebahan, dan hindari olahraga intens menjelang tidur. Selama nggak sampai ganggu kualitas tidur kamu tiap malam, ini nggak berbahaya sama sekali. Tapi kalau sentakannya sering banget sampai bikin susah tidur, baru deh konsultasi ke dokter ya 🩺✨",2026-09-02T11:33:36.392497
